DocChineseName,DocEnglishName,DocRegisteredSpecialty,Author, WaitingTime,ConsultationPurpose,Fee,VisitReason,ConsultationDate,Sentiment,Experience,Recommendation,OtherComment,OverallScore,Professionalism,TargetedTreatment,ReasonablePrice,WorthRecommending
區志立醫生,Dr AU CHI LAP,家庭醫學,卡卡,不設預約等候片刻,--,~ $ 800,恆常光顧經驗,2022年12月13日,態度有失、醫德有損,醫護之語調態度令人無所適從,可能人夾人緣自己衡量,醫生態度極差！！自以為是！本人腰部扭傷，最痛之時已作針灸治療，但仍有不適，希望透過西醫轉介到物理治療，且能申請保險索償，既能根治腰傷又不需破費，應是最佳方案吧。區醫生診所於我公司附近，曾看診普通科兩次，感覺不過不失，所以有身體不適時，會第一時間想到找區醫生。當天13號到診所，坐下就表明自己訴求，即被醫生反問：「你知道我係睇痛症架嘛！？」我表示知道，本來亦想請區醫生治療，但不肯定保險包不包。區醫生聽後立即黑面！說：「你唔知知幾多人係寫轉介信黎睇我呀！你叫我寫轉介信（冷笑）！同埋你睇物理治療係唔會好嘅，大把人睇完物理治療都要搵我！我唔知你啦！你為左幾百蚊保險，你自己鍾意啦！同埋我今天照收錢架wo」（我以為係診金加3日藥嘅價錢）當時我一肚氣，但繼續向醫生講自己的腰怎樣痛，幾時整親，區醫生完全hea聽！叫我上床平訓直接舉起我隻腳，動作係快嘅！但完全冇諗過病人嘅痛！粗暴！途中醫生keep住講：「你自己鍾意啦，條腰係你嘅，你要為左保險唔睇好條腰咪去物理治療囉」最後我請醫生記得喺轉介信寫受傷日期同列明意外，佢當時已經即時㩒開門禁想趕我走同講左句：「得啦，我識寫」最後封轉介信收$800！區醫生做痛症治療係收800，但係佢冇幫我做治療！仲要態度極差！唔理會病人身體狀況！醫生你講到自己最專業，得佢先醫得好我！咁為何唔治療第一次，等我可以試吓佢嘅好？！800-1000蚊睇一次治療對一般人黎講唔係輕鬆嘅事..兼要睇起碼幾次， 只係病人想claim保險唔喺你度治療幾次，你就態度咁差…無論你醫術點好（佢自稱），我都因為你嘅差醫德而不再回頭！,4.0,1,1,10,不予置評
區志立醫生,Dr AU CHI LAP,家庭醫學,Ms. Jackie,需預約準時,家庭醫生,~ $ 800,隨機方便嘗試,2022年12月19日,診效不顯、收費不稱,醫護之語調態度令人無所適從,本人絕對不會再作光顧,媽媽一進入診症室已表明只需要普通科的轉介信去物理治療。但收費時，護士稱醫生為痛症科專家，需要收專科價錢，診費由＄350變成＄800。醫生如此斂財而且冇醫德嘅行為，令我們唔會再去看病。如果大家只係普通病痛，不需要(專業)諮詢，建議不要到此診所，醫生有機會會將所有普通症當成肌肉痛症處理。,1.3,2,1,1,不予置評
區志立醫生,Dr AU CHI LAP,家庭醫學,Vince,需預約準時,骨骼關節 腰骨,~ $ 1500,本網評譽參考,2021年11月9日,態度有失、醫德有損,診証時間極其急趕，快來快去,本人絕對不會再作光顧,收費不合理 明明只復位一個部位 最後卻收了兩個部位的價錢 診症期間不斷吹噓自己運動方面的成就 缺乏聆聽病人的耐性 已經看過幾次 每次都向病人洗腦選擇prp療法 我阿爸也幫襯過佢 無啦啦叫佢洗七千蚊做MRI 最後睇第二個養和醫生 話照x光就夠 此人醫德欠奉 小心,1.0,1,1,1,不予置評
區志立醫生,Dr AU CHI LAP,家庭醫學,蔡,需預約準時,傷風感冒 頭痛,~ $ 300,本網評譽參考,2019年12月4日,仁心仁術、醫德高尚,醫生會主動探索其病因及治療,值得向有需要人仕推介,除問診外，醫生主動解釋流感疫苗和感冒是不同病症，非常盡本分！,10.0,10,10,10,值得推介
區志立醫生,Dr AU CHI LAP,家庭醫學,lam,需預約準時,專科治療 頸痛,~ $ 800,朋友介紹推薦,2018年10月1日,診效不顯、收費不稱,需要自己主動提出較多的諮詢,可能人夾人緣自己衡量,"本人因為肩頸痛痛了多時, 看了很多醫生, 本已到了放棄階段, 後來經熟人介紹即管去試下, 初時以為真的會有希望.   我帶晒D X光片比佢看, 佢都話唔駛看, 因為佢一模就知道問題所在.  如樓下的人兄一樣, 初時區醫生確係好似好專業詳細分析我有咩問題, 話我頸骨有移位,  不過情況唔嚴重, 好有自信同肯定去三次就唔駛再搵佢.  佢用手法治療幫我LOCK頸,  第一次見他, 要收$1500, 呢個價錢仲貴過脊醫, 價錢貴唔緊要, 最緊要醫到, 整完第一次之後好似係好D,  之後我再去搵佢, 每次$750,  但第二次做完之後, 我左手成隻手同手指開始庳, 庳到真係咩都模唔到果隻.  再隔一星期我再去找他, 告訴他我頸仍是痛, 而且手有庳, 我問他為何會庳? 他沒有正面回覆我的問題, 最搞笑, 好明顯, 佢冇左之前話可以三次醫好我的自信, 也有迴避我的感覺, 好像叫我唔好再去搵佢咁.    佢幫我整完我條頸係好左小小, 至少係可以訓到下, 之前未整係完全訓唔到落床, 但比佢整完好明顯就出現手庳, 第三次整完仲要連右手都庳埋, 所以我好肯定係佢整到我咁!  另外, 我最唔鍾意呢間診所, 我每次去看, 佢裡面都有D醫科學生係度, 但係預約果時完全冇話比我聽, 而且果D學生木口木面對我說的痛症問題, 完全沒有一些同理心的樣子, 真不可想像這班人第日點做醫生!!!!!!!有醫科學生係度, 呢位區醫生就不斷向學生發表他的偉論, 反而我唔覺得佢太FOCUS係我度!!! 我跟本就唔想做MODEL, 我係付足費用的! 我有同姑娘講過我唔想, 但醫生又叫我唔好介意, 咁我想佢醫我, 咁我可以點. 總之, 我真係好後悔去看他!!!!",2.3,3,3,1,不予置評
區志立醫生,Dr AU CHI LAP,家庭醫學,Abc,需預約準時,專科治療,~ $ 800,再度光顧,2018年9月--,診效不顯、收費不稱,醫生會清晰明確的講解其病情,本人絕對不會再作光顧,一開頭因肩頸痛頭痛去睇 好似好專業詳細分析有咩問題 話我頸骨同盤骨移位 要分幾次去整 每次收$750 第一次整完之後佢話頸搞掂 下次整盤骨 但我整完之後覺得右邊頸同膊頭好唔舒服 第二日覆診同佢講 佢又話好似有少少移位 又再整一次頸 然後盤骨要約下一次 每次過程只係大概五分鐘 不過佢整完之後我更加唔舒服 隻手有時有啲痺 抖大氣嗰陣 feel到右邊胸口唔係好舒服 舉高手膊頭有啲痛 嗰種痛同我一開頭肩頸痛嘅痛係唔一樣 我覺得佢跟本愈整愈差 唔敢再約下一次睇佢 後尾同事介紹間中醫俾我去睇 個醫師話我肋骨移位 醫咗一次手冇再痺 胸口都唔痛 但頸同膊頭仲係好唔舒服 真係好後悔去睇區志立 冇事都整到有事！,4.6,8,3,3,不予置評
區志立醫生,Dr AU CHI LAP,家庭醫學,ken,需預約準時,傷風感冒,~ $ 300,光顧多次,2017年3月--,普普通通、中規中距,醫護之語調態度令人無所適從,可能人夾人緣自己衡量,,4.0,4,4,4,不予置評
區志立醫生,Dr AU CHI LAP,家庭醫學,訪客,,,,,,,,,骨骼移位，區醫生在3次的治療都令我有明顯的改善，比其他的好Report by Android App,10.0,10,10,10,不予置評
區志立醫生,Dr AU CHI LAP,家庭醫學,Robert,需預約準時,傷風感冒,~ $ 100,初次光顧,2012年5月--,醫術精湛、鉅細無遺,求診病人實在太多，等候需時,已視為本人的必然選擇,一次見效，好好,10.0,10,10,10,值得推介
區志立醫生,Dr AU CHI LAP,家庭醫學,Lawrence,,,,,,,,,急病求醫。吃完所有藥，病情未見好轉。鼻水長流。,4.3,8,3,2,不予置評
